"","player","team","2019-2020","2020-2021","2021-2022","2022-2023","2023-2024","2024-2025"
"79","Kelly Oubre","PHO","$15,625,000","$14,375,000","","","",""
"80","Dennis Schr<U+00F6>der","OKC","$15,500,000","$15,500,000","","","",""
"81","Ian Mahinmi","WAS","$15,450,051","","","","",""
"82","James Johnson","MIN","$15,349,400","$16,047,100","","","",""
"83","Marvin Williams","CHO","$15,006,250","","","","",""
"84","Bobby Portis","NYK","$15,000,000","$15,750,000","","","",""
"85","Marcus Morris","LAC","$15,000,000","","","","",""
"86","Danny Green","LAL","$14,634,146","$15,365,854","","","",""
"87","Cody Zeller","CHO","$14,471,910","$15,415,730","","","",""
"88","Eric Gordon","HOU","$14,057,730","$16,869,276","$18,218,818","$19,568,360","$20,917,902",""
"89","Mason Plumlee","DEN","$14,041,096","","","","",""
"90","Rudy Gay","SAS","$14,000,000","$14,000,000","","","",""
"91","J.J. Redick","NOP","$13,486,300","$13,013,700","","","",""
"92","Jordan Clarkson","UTA","$13,437,500","","","","",""
"93","Dewayne Dedmon","ATL","$13,333,334","$13,333,333","$13,333,333","","",""
"94","Solomon Hill","MIA","$13,258,781","","","","",""
"95","Justise Winslow","MEM","$13,000,000","$13,000,000","$13,000,000","","",""
"96","Michael Kidd-Gilchrist","CHO","$13,000,000","","","","",""
"97","Will Barton","DEN","$12,960,000","$13,920,000","$14,880,000","","",""
"98","Thaddeus Young","CHI","$12,900,000","$13,545,000","$14,190,000","","",""
"99","Courtney Lee","DAL","$12,759,670","","","","",""
"100","Larry Nance","CLE","$12,727,273","$11,709,091","$10,690,909","$9,672,727","",""
"101","Marcus Smart","BOS","$12,553,471","$13,446,428","$14,339,285","","",""
"102","Terrence Ross","ORL","$12,500,000","$13,500,000","$12,500,000","$11,500,000","",""
"103","Miles Plumlee","MEM","$12,500,000","","","","",""
"104","Patty Mills","SAS","$12,428,571","$13,285,714","","","",""
"105","Patrick Beverley","LAC","$12,345,679","$13,333,333","$14,320,988","","",""
"106","Trevor Ariza","POR","$12,200,000","$12,800,000","","","",""
"107","Dion Waiters","MEM","$12,100,000","$12,650,000","","","",""
"108","Brook Lopez","MIL","$12,093,024","$12,697,675","$13,302,325","$13,906,976","",""
"109","Jusuf Nurki<U+0107>","POR","$12,000,000","$12,000,000","$12,000,000","","",""
"110","Cory Joseph","SAC","$12,000,000","$12,600,000","$12,600,000","","",""
"111","Joe Ingles","UTA","$11,954,546","$10,863,637","$14,000,000","","",""
"112","Kelly Olynyk","MIA","$11,667,885","$12,198,243","","","",""
"113","Maurice Harkless","NYK","$11,511,234","","","","",""
"114","Tony Snell","DET","$11,392,857","$12,178,571","","","",""
"115","Robert Covington","HOU","$11,301,219","$12,138,345","$12,975,471","","",""
"116","Meyers Leonard","MIA","$11,286,515","","","","",""
"117","T.J. Warren","IND","$10,810,000","$11,750,000","$12,690,000","","",""
"118","Andre Roberson","OKC","$10,740,741","","","","",""
"119","Spencer Dinwiddie","BRK","$10,600,000","$11,400,000","$12,300,000","","",""
"120","Jeremy Lamb","IND","$10,500,000","$10,500,000","$10,500,000","","",""
"121","Dwight Powell","DAL","$10,259,375","$10,185,185","$11,000,000","$11,814,815","",""
"122","Norman Powell","TOR","$10,116,576","$10,865,952","$11,615,328","","",""
"123","Josh Richardson","PHI","$10,100,000","$10,800,000","$11,600,000","","",""
"124","Tom¨¢<U+0161> Satoransky","CHI","$10,000,000","$10,000,000","$10,000,000","","",""
"125","DeAndre Jordan","BRK","$9,881,598","$10,375,678","$9,881,598","$9,821,842","",""
"126","Taj Gibson","NYK","$9,800,000","$10,290,000","","","",""
"127","Zion Williamson","NOP","$9,757,440","$10,245,480","$10,733,400","$13,534,817","",""
"128","Markelle Fultz","ORL","$9,745,200","$12,288,697","","","",""
"129","John Henson","DET","$9,732,396","","","","",""
"130","Matthew Dellavedova","CLE","$9,607,500","","","","",""
"131","Dante Exum","CLE","$9,600,000","$9,600,000","","","",""
"132","Deandre Ayton","PHO","$9,562,920","$10,018,200","$12,632,950","","",""
"133","Delon Wright","DAL","$9,473,684","$9,000,000","$8,526,316","","",""
"134","Jerami Grant","DEN","$9,346,153","$9,346,153","","","",""
"135","Al-Farouq Aminu","ORL","$9,258,000","$9,720,900","$10,183,800","","",""
"136","George Hill","MIL","$9,133,907","$9,590,602","$10,047,297","","",""
"137","Kyle Anderson","MEM","$9,073,050","$9,505,100","$9,937,150","","",""
"138","Fred VanVleet","TOR","$9,000,000","","","","",""
"139","Ja Morant","MEM","$8,730,240","$9,166,800","$9,603,360","$12,119,440","",""
"140","C.J. Miles","WAS","$8,730,158","","","","",""
"141","Lonzo Ball","NOP","$8,719,320","$11,003,782","","","",""
"142","E'Twaun Moore","NOP","$8,664,928","","","","",""
"143","Marvin Bagley","SAC","$8,556,120","$8,963,640","$11,312,114","","",""
"144","Bogdan Bogdanovi<U+0107>","SAC","$8,529,386","","","","",""
"145","Tyus Jones","MEM","$8,408,000","$7,965,100","$7,522,200","","",""
"146","P.J. Tucker","HOU","$8,349,039","$7,969,537","","","",""
"147","Cristiano Fel¨ªcio","CHI","$8,156,500","$7,529,020","","","",""
"148","Ben Simmons","PHI","$8,113,930","$29,250,000","$31,590,000","$33,930,000","$36,270,000","$38,610,000"
"149","Kentavious Caldwell-Pope","LAL","$8,089,282","$8,493,746","","","",""
"150","Maxi Kleber","DAL","$8,000,000","$8,250,000","$8,750,000","$9,000,000","",""
"151","Lou Williams","LAC","$8,000,000","$8,000,000","","","",""
"152","Elfrid Payton","NYK","$8,000,000","$8,000,000","","","",""
"153","Thomas Bryant","WAS","$7,936,508","$8,333,333","$8,730,159","","",""
"154","RJ Barrett","NYK","$7,839,960","$8,231,760","$8,623,920","$10,900,635","",""
"155","Jayson Tatum","BOS","$7,830,000","$9,897,120","","","",""
"156","Jae Crowder","MIA","$7,815,533","","","","",""
"157","Wayne Ellington","NYK","$7,804,878","$8,195,122","","","",""
"158","Luka Don<U+010D>i<U+0107>","DAL","$7,683,360","$8,049,360","$10,174,391","","",""
"159","Joe Harris","BRK","$7,670,000","","","","",""
"160","Seth Curry","DAL","$7,441,860","$7,813,953","$8,186,047","$8,558,140","",""
"161","Doug McDermott","IND","$7,333,334","$7,333,333","","","",""
"162","Langston Galloway","DET","$7,333,333","","","","",""
"163","Derrick Rose","DET","$7,317,073","$7,682,927","","","",""
"164","Brandon Ingram","NOP","$7,265,485","","","","",""
"165","D.J. Augustin","ORL","$7,250,000","","","","",""
"166","Darius Miller","NOP","$7,250,000","$7,000,000","","","",""
"167","De'Andre Hunter","ATL","$7,068,360","$7,422,000","$7,775,400","$9,835,881","",""
"168","Josh Jackson","MEM","$7,059,480","","","","",""
"169","D¨¡vis Bert¨¡ns","WAS","$7,000,000","","","","",""
"170","Ersan <U+0130>lyasova","MIL","$7,000,000","$7,000,000","","","",""
"171","Jaren Jackson","MEM","$6,927,480","$7,257,360","$9,180,560","","",""
"172","DeMarre Carroll","SAS","$6,842,307","$6,167,887","$1,252,127","","",""
"173","Nemanja Bjelica","SAC","$6,825,000","$7,150,000","","","",""
"174","Jaylen Brown","BOS","$6,534,829","$22,991,071","$24,830,357","$26,669,643","$28,508,929",""
"175","Jabari Parker","SAC","$6,500,000","$6,500,000","","","",""
"176","Ivica Zubac","LAC","$6,481,482","$7,000,000","$7,518,518","$7,518,518","",""
"177","Joakim Noah","NYK","$6,431,666","$6,431,666","$6,431,666","","",""
"178","Darius Garland","CLE","$6,400,920","$6,720,720","$7,040,880","$8,920,795","",""
"179","De'Aaron Fox","SAC","$6,392,760","$8,099,627","","","",""
"180","Trae Young","ATL","$6,273,000","$6,571,800","$8,326,471","","",""
"181","Montrezl Harrell","LAC","$6,000,000","","","","",""
"182","Ish Smith","WAS","$5,853,659","$6,146,341","","","",""
"183","Marco Belinelli","SAS","$5,846,154","","","","",""
"184","Jarrett Culver","MIN","$5,813,640","$6,104,280","$6,395,160","$8,109,063","",""
"185","Jonathan Isaac","ORL","$5,806,440","$7,362,566","","","",""
"186","Rodney Hood","POR","$5,718,000","$6,003,900","","","",""
"187","Mo Bamba","ORL","$5,697,600","$5,969,040","$7,568,742","","",""
"188","Timofey Mozgov","ORL","$5,573,333","$5,573,333","$5,573,334","","",""
"189","Trey Lyles","SAS","$5,500,000","$5,500,000","","","",""
"190","Deron Williams","BRK","$5,474,787","","","","",""
"191","Aron Baynes","PHO","$5,453,280","","","","",""
"192","Kris Dunn","CHI","$5,348,007","","","","",""
"193","Josh Smith","DET","$5,331,729","","","","",""
"194","Coby White","CHI","$5,307,120","$5,572,680","$5,837,760","$7,413,955","",""
"195","Lauri Markkanen","CHI","$5,300,400","$6,731,508","","","",""
"196","Ryan Anderson","MIA","$5,214,583","$5,214,583","$5,214,584","","",""
"197","Wendell Carter","CHI","$5,201,400","$5,448,840","$6,920,027","","",""
"198","Pau Gasol","SAS","$5,100,000","","","","",""
"199","Daniel Theis","BOS","$5,000,000","$5,000,000","","","",""
"200","Luol Deng","LAL","$4,990,000","$4,990,000","$4,990,000","","",""
"201","Jaxson Hayes","NOP","$4,862,040","$5,105,160","$5,348,280","$6,803,012","",""
"202","Buddy Hield","SAC","$4,861,208","$24,431,818","$22,477,273","$20,522,727","$18,568,182",""
"203","Frank Ntilikina","NYK","$4,855,800","$6,176,578","","","",""
"204","Ed Davis","UTA","$4,767,000","$5,005,350","","","",""
"205","Richaun Holmes","SAC","$4,767,000","$5,005,350","","","",""
"206","Frank Kaminsky","PHO","$4,767,000","$5,005,350","","","",""
"207","Mike Scott","PHI","$4,767,000","$5,005,350","","","",""
"208","Avery Bradley","LAL","$4,767,000","$5,005,350","","","",""
"209","Robin Lopez","MIL","$4,767,000","$5,005,350","","","",""
"210","JaMychal Green","LAC","$4,767,000","$5,005,350","","","",""
"211","Justin Holiday","IND","$4,767,000","","","","",""
"212","Garrett Temple","BRK","$4,767,000","$5,005,350","","","",""
"213","Enes Kanter","BOS","$4,767,000","$5,005,350","","","",""
"214","Collin Sexton","CLE","$4,764,960","$4,991,880","$6,349,671","","",""
"215","Rodney McGruder","LAC","$4,629,630","$5,000,000","$5,370,370","","",""
"216","Rui Hachimura","WAS","$4,469,160","$4,692,840","$4,916,160","$6,263,188","",""
"217","Kevon Looney","GSW","$4,464,286","$4,821,429","$5,178,572","","",""
"218","Dennis Smith","NYK","$4,463,640","$5,686,677","","","",""
"219","Jamal Murray","DEN","$4,444,746","$29,250,000","$31,590,000","$33,930,000","$36,270,000","$38,610,000"
"220","Kevin Knox","NYK","$4,380,120","$4,588,680","$5,845,978","","",""
"221","Cam Reddish","ATL","$4,245,720","$4,458,000","$4,670,160","$5,954,454","",""
"222","Zach Collins","POR","$4,240,200","$5,406,255","","","",""
"223","Mikal Bridges","PHO","$4,161,000","$4,359,000","$5,557,725","","",""
"224","Alex Len","SAC","$4,160,000","","","","",""
"225","Cameron Johnson","PHO","$4,033,440","$4,235,160","$4,437,000","$5,887,899","",""
"226","Malik Monk","CHO","$4,028,400","$5,345,687","","","",""
"227","Dorian Finney-Smith","DAL","$4,000,000","$4,000,000","$4,000,000","","",""
"228","JaVale McGee","LAL","$4,000,000","$4,200,000","","","",""
"229","Patrick McCaw","TOR","$4,000,000","$4,000,000","","","",""
"230","Reggie Bullock","NYK","$4,000,000","$4,200,000","","","",""
"231","Shai Gilgeous-Alexander","OKC","$3,952,920","$4,141,320","$5,495,532","","",""
"232","Nicol¨° Melli","NOP","$3,902,439","$4,097,561","","","",""
"233","P.J. Washington","CHO","$3,831,840","$4,023,600","$4,215,120","$5,808,435","",""
"234","Luke Kennard","DET","$3,827,160","$5,273,826","","","",""
"235","Miles Bridges","CHO","$3,755,400","$3,934,320","$5,421,493","","",""
"236","Jakob P<U+00F6>ltl","SAS","$3,754,886","","","","",""
"237","Tyler Herro","MIA","$3,640,200","$3,822,240","$4,004,280","$5,722,116","",""
"238","Donovan Mitchell","UTA","$3,635,760","$5,195,501","","","",""
"239","Stanley Johnson","TOR","$3,623,000","$3,801,000","","","",""
"240","Jake Layman","MIN","$3,581,986","$3,761,085","$3,940,184","","",""
"241","Thon Maker","DET","$3,569,643","","","","",""
"242","Jerome Robinson","WAS","$3,567,720","$3,737,520","$5,340,916","","",""
"243","Allonzo Trier","NYK","$3,551,100","","","","",""
"244","Danuel House","HOU","$3,540,000","$3,717,000","$3,894,000","","",""
"245","Domantas Sabonis","IND","$3,529,555","$17,187,500","$18,562,500","$19,937,500","$21,312,500",""
"246","Mirza Teletovi<U+0107>","MIL","$3,500,000","$3,500,000","","","",""
"247","Boban Marjanovi<U+0107>","DAL","$3,500,000","$3,500,000","","","",""
"248","T.J. McConnell","IND","$3,500,000","$3,500,000","","","",""
"249","DeMarcus Cousins","LAL","$3,500,000","","","","",""
"250","Taurean Waller-Prince","BRK","$3,481,986","$13,942,308","$15,057,692","","",""
"251","Dario <U+0160>ari<U+0107>","PHO","$3,481,986","","","","",""
"252","Romeo Langford","BOS","$3,458,400","$3,631,200","$3,804,360","$5,634,257","",""
"253","Bam Adebayo","MIA","$3,454,080","$5,115,492","","","",""
"254","Kyle Korver","PHO","$3,440,000","","","","",""
"255","Michael Porter","DEN","$3,389,400","$3,550,800","$5,258,735","","",""
"256","Denzel Valentine","CHI","$3,377,569","","","","",""
"257","Juan Hernang¨®mez","MIN","$3,321,030","","","","",""
"258","Sekou Doumbouya","DET","$3,285,120","$3,449,400","$3,613,680","$5,539,771","",""
"259","Justin Jackson","DAL","$3,280,920","$5,029,650","","","",""
"260","Troy Brown","WAS","$3,219,480","$3,372,840","$5,170,564","","",""
"261","Jon Leuer","MIL","$3,169,348","$3,169,348","$3,169,347","","",""
"262","Yogi Ferrell","SAC","$3,150,000","","","","",""
"263","Guerschon Yabusele","BOS","$3,117,240","","","","",""
"264","Zhaire Smith","PHI","$3,058,800","$3,204,600","$4,915,856","","",""
"265","Dwight Howard","MEM","$3,039,097","","","","",""
"266","Khem Birch","ORL","$3,000,000","$3,000,000","","","",""
"267","Ryan Arcidiacono","CHI","$3,000,000","$3,000,000","$3,000,000","","",""
"268","Quinn Cook","LAL","$3,000,000","$3,000,000","","","",""
"269","<U+00D6>mer A<U+015F><U+0131>k","CHI","$3,000,000","","","","",""
"270","Nickeil Alexander-Walker","NOP","$2,964,840","$3,113,160","$3,261,480","$5,009,633","",""
"271","D.J. Wilson","MIL","$2,961,120","$4,548,280","","","",""
"272","Cedi Osman","CLE","$2,907,143","$8,750,000","$8,050,000","$7,350,000","$6,650,000",""
"273","Donte DiVincenzo","MIL","$2,905,800","$3,044,160","$4,675,830","","",""
"274","Bryn Forbes","SAS","$2,875,000","","","","",""
"275","Andrew Nicholson","POR","$2,844,429","$2,844,429","$2,844,429","$2,844,429","$2,844,429",""
"276","Goga Bitadze","IND","$2,816,760","$2,957,520","$3,098,400","$4,765,339","",""
"277","T.J. Leaf","IND","$2,813,280","$4,326,825","","","",""
"278","Lonnie Walker","SAS","$2,760,480","$2,892,000","$4,447,896","","",""
"279","Alex Caruso","LAL","$2,750,000","$2,750,000","","","",""
"280","Malik Beasley","MIN","$2,731,714","","","","",""
"281","Luka <U+0160>amani<U+0107>","SAS","$2,689,920","$2,824,320","$2,959,080","$4,556,983","",""
"282","John Collins","ATL","$2,686,560","$4,137,302","","","",""
"283","Kevin Huerter","ATL","$2,636,280","$2,761,920","$4,253,357","","",""
"284","Caris LeVert","BRK","$2,625,718","$16,203,704","$17,500,000","$18,796,296","",""
"285","Marko Guduric","MEM","$2,625,000","$2,750,000","","","",""
"286","DeAndre' Bembry","ATL","$2,603,982","","","","",""
"287","Matisse Thybulle","PHI","$2,582,160","$2,711,280","$2,840,160","$4,379,527","",""
"288","Harry Giles","SAC","$2,578,800","","","","",""
"289","Jeff Green","UTA","$2,564,753","","","","",""
"290","Pau Gasol","POR","$2,564,753","","","","",""
"291","Wesley Matthews","MIL","$2,564,753","$2,692,991","","","",""
"292","Kyle Korver","MIL","$2,564,753","","","","",""
"293","Udonis Haslem","MIA","$2,564,753","","","","",""
"294","Jared Dudley","LAL","$2,564,753","","","","",""
"295","Rajon Rondo","LAL","$2,564,753","$2,619,605","","","",""
"296","Dwight Howard","LAL","$2,564,753","","","","",""
"297","Thabo Sefolosha","HOU","$2,564,753","","","","",""
"298","Tyson Chandler","HOU","$2,564,753","","","","",""
"299","Gerald Green","DEN","$2,564,753","","","","",""
"300","J.J. Barea","DAL","$2,564,753","","","","",""
"301","Wilson Chandler","BRK","$2,564,753","","","","",""
"302","Nen¨º Hil¨¢rio","ATL","$2,564,753","","","","",""
"303","Vince Carter","ATL","$2,564,753","","","","",""
"304","Josh Okogie","MIN","$2,530,680","$2,651,040","$4,087,904","","",""
"305","Vincent Poirier","BOS","$2,505,793","$2,619,207","","","",""
"306","Rondae Hollis-Jefferson","TOR","$2,500,000","","","","",""
"307","Brandon Clarke","MEM","$2,478,840","$2,602,920","$2,726,880","$4,343,920","",""
"308","Terrance Ferguson","OKC","$2,475,840","$3,944,013","","","",""
"309","Grayson Allen","MEM","$2,429,400","$2,545,320","$4,054,695","","",""
"310","Anthony Tolliver","SAC","$2,419,852","","","","",""
"311","Grant Williams","BOS","$2,379,840","$2,498,760","$2,617,800","$4,306,281","",""
"312","Jarrett Allen","BRK","$2,376,840","$3,909,902","","","",""
"313","Pascal Siakam","TOR","$2,351,839","$29,000,000","$31,320,000","$33,640,000","$35,960,000",""
"314","Skal Labissi¨¨re","ATL","$2,338,847","","","","",""
"315","Chandler Hutchison","CHI","$2,332,320","$2,443,440","$4,019,459","","",""
"316","Patrick Patterson","LAC","$2,331,593","","","","",""
"317","Dejounte Murray","SAS","$2,321,735","$14,285,714","$15,428,571","$16,571,429","$17,714,286",""
"318","Alec Burks","PHI","$2,320,044","","","","",""
"319","Isaiah Thomas","LAC","$2,320,044","","","","",""
"320","Damian Jones","ATL","$2,305,057","","","","",""
"321","Darius Bazley","OKC","$2,284,800","$2,399,160","$2,513,040","$4,264,629","",""
"322","OG Anunoby","TOR","$2,281,800","$3,872,215","","","",""
"323","Ante <U+017D>i<U+017E>i<U+0107>","CLE","$2,281,800","","","","",""
"324","Monta Ellis","IND","$2,245,400","$2,245,400","$2,245,400","","",""
"325","Markieff Morris","DET","$2,241,808","","","","",""
"326","Aaron Holiday","IND","$2,239,200","$2,345,640","$3,980,551","","",""
"327","Luke Kornet","CHI","$2,195,122","$2,304,878","","","",""
"328","Ty Jerome","PHO","$2,193,480","$2,303,040","$2,412,840","$4,220,057","",""
"329","Willie Cauley-Stein","DAL","$2,177,483","$2,286,357","","","",""
"330","Austin Rivers","HOU","$2,174,318","$2,369,663","","","",""
"331","Carmelo Anthony","POR","$2,159,029","","","","",""
"332","Anfernee Simons","POR","$2,149,560","$2,252,040","$3,938,818","","",""
"333","Matt Barnes","SAC","$2,133,541","","","","",""
"334","Nassir Little","POR","$2,105,520","$2,210,640","$2,316,240","$4,171,548","",""
"335","Torrey Craig","DEN","$2,100,000","","","","",""
"336","Moritz Wagner","WAS","$2,063,520","$2,161,920","$3,893,618","","",""
"337","Dylan Windler","CLE","$2,035,800","$2,137,440","$2,239,200","$4,037,278","",""
"338","Caleb Swanigan","POR","$2,033,160","","","","",""
"339","Trey Burke","PHI","$2,028,594","","","","",""
"340","Kyle O'Quinn","PHI","$2,028,594","","","","",""
"341","Michael Carter-Williams","ORL","$2,028,594","","","","",""
"342","Mike Muscala","OKC","$2,028,594","$2,283,034","","","",""
"343","Nerlens Noel","OKC","$2,028,594","","","","",""
"344","Troy Daniels","LAL","$2,028,594","","","","",""
"345","Ben McLemore","HOU","$2,028,594","$2,283,034","","","",""
"346","Spencer Hawes","MIL","$2,007,058","","","","",""
"347","Edmond Sumner","IND","$2,000,000","$2,160,000","$2,320,000","","",""
"348","Avery Bradley","MEM","$2,000,000","","","","",""
"349","Noah Vonleh","DEN","$2,000,000","","","","",""
"350","Landry Shamet","LAC","$1,995,120","$2,090,040","$3,768,342","","",""
"351","Mfiondu Kabengele","LAC","$1,977,000","$2,075,880","$2,174,880","$3,923,484","",""
"352","Kyle Kuzma","LAL","$1,974,600","$3,562,178","","","",""
"353","Jordan Poole","GSW","$1,964,760","$2,063,280","$2,161,440","$3,901,399","",""
"354","Tony Bradley","UTA","$1,962,360","$3,542,060","","","",""
"355","Keldon Johnson","SAS","$1,950,600","$2,048,040","$2,145,720","$3,873,025","",""
"356","Derrick White","SAS","$1,948,080","$3,516,284","","","",""
"357","Robert Williams","BOS","$1,937,520","$2,029,920","$3,661,976","","",""
"358","Josh Hart","NOP","$1,934,160","$3,491,159","","","",""
"359","Jacob Evans","MIN","$1,925,880","$2,017,320","$3,641,263","","",""
"360","Anderson Varej<U+00E3>o","POR","$1,913,345","$1,913,345","","","",""
"361","D<U+017E>anan Musa","BRK","$1,911,600","$2,002,800","$3,615,054","","",""
"362","Omari Spellman","MIN","$1,897,800","$1,988,280","$3,588,845","","",""
"363","Shabazz Napier","WAS","$1,882,867","","","","",""
"364","Glenn Robinson","PHI","$1,882,867","$2,071,978","","","",""
"365","James Ennis","ORL","$1,882,867","$2,071,978","","","",""
"366","Tim Frazier","DET","$1,882,867","","","","",""
"367","Larry Sanders","MIL","$1,865,547","$1,865,547","$1,865,547","","",""
"368","Bruno Caboclo","HOU","$1,845,301","","","","",""
"369","Markieff Morris","LAL","$1,750,000","","","","",""
"370","Mario Hezonja","POR","$1,737,145","$1,882,867","","","",""
